Name,Team,Position,Salary,Projection,Std Dev,Ceiling,Floor,Bust%,Boom%,Ownership%,Optimal%,Leverage
Nikola Jokic,DEN,C,"12,300",67.98,13.16,76.85,59.1,16,54.57,37.8,48.62,10.82
Dennis Schroder,GSW,PG/SG,"5,200",32.79,9.41,39.13,26.44,15,45.41,60.12,60.16,0.04
Buddy Hield,GSW,SG,"3,400",24.5,8.95,30.54,18.47,15,45.08,60.04,69.24,9.2
Jonathan Kuminga,GSW,PF,"6,400",37.78,10.13,44.62,30.95,18,43.75,50.34,47.26,-3.08
Victor Wembanyama,SAS,C,"11,300",59.06,12.79,67.68,50.43,26,41.28,24.72,18.06,-6.66
Trayce Jackson-Davis,GSW,C,"5,000",30.49,9.81,37.11,23.87,20,40.09,32.82,34.64,1.82
Karl-Anthony Towns,NYK,C,"10,300",53.55,11.83,61.53,45.57,27,37.61,15.5,15.86,0.36
Giannis Antetokounmpo,MIL,PF/C,"11,500",58.09,12.85,66.75,49.42,31,35.71,13.82,12.26,-1.56
Andrew Wiggins,GSW,SF/PF,"5,600",32.01,9.47,38.4,25.62,23,34.81,38.08,31.68,-6.4
Bam Adebayo,MIA,C,"8,400",44.01,11.2,51.56,36.45,28,34.23,10.9,13.82,2.92
Draymond Green,GSW,PF/C,"5,700",31.84,9.77,38.43,25.25,26,32.91,18.88,24.16,5.28
Julius Randle,MIN,PF/C,"7,400",38.69,10.22,45.59,31.8,29,30.28,12.56,13.74,1.18
Deni Avdija,POR,SF/PF,"6,100",32.73,10.12,39.55,25.91,30,30.11,19.66,19.42,-0.24
Russell Westbrook,DEN,PG,"6,600",34.79,10.23,41.69,27.89,30,29.51,14.6,16.16,1.56
Devin Vassell,SAS,SG/SF,"6,200",33.09,9.75,39.66,26.51,29,29.08,18.46,19.9,1.44
Pascal Siakam,IND,PF,"7,200",37.2,10.37,44.2,30.2,32,28.64,9.44,12.12,2.68
Jaden McDaniels,MIN,SF,"4,000",23.34,8.82,29.29,17.39,27,28.45,21.38,23.22,1.84
Jaren Jackson Jr.,MEM,PF/C,"9,300",45.91,11.61,53.74,38.08,36,27.95,4.36,7,2.64
Ausar Thompson,DET,SF/PF,"4,100",23.19,9.61,33.5,16.71,31,27.9,1.76,4.46,2.7
Jalen Brunson,NYK,PG,"8,900",44.45,10.68,51.65,37.25,34,27.44,9.7,9.06,-0.64
Tyrese Haliburton,IND,PG,"8,300",41.86,10.36,48.85,34.87,33,27.34,8.12,9.38,1.26
Anthony Edwards,MIN,PG/SG,"8,600",42.99,10.59,50.13,35.85,34,27,8.92,7.52,-1.4
Brandon Clarke,MEM,PF/C,"3,400",20.26,8.7,26.13,14.39,28,26.93,23.04,22.04,-1
Kevin Durant,PHX,PF/C,"9,600",47.21,10.89,54.56,39.87,35,26.45,7.9,5.76,-2.14
Naz Reid,MIN,PF/C,"4,700",25.62,9.41,31.97,19.28,31,26.34,13.32,14.16,0.84
Tobias Harris,DET,PF,"5,100",27.38,9.2,33.59,21.17,31,25.62,8.66,5.76,-2.9
James Harden,LAC,PG,"9,200",45.18,10.56,52.3,38.06,36,25.21,,,
Michael Porter Jr.,DEN,SF/PF,"6,300",32.51,9.4,38.86,26.17,32,24.79,15.22,10.74,-4.48
Devin Booker,PHX,PG/SG,"9,000",43.93,10.82,51.23,36.63,37,24.74,2.6,5.36,2.76
Cade Cunningham,DET,PG,"9,900",47.51,11.56,55.3,39.71,39,24.61,3.88,3.04,-0.84
Josh Hart,NYK,SF/PF,"7,500",37.78,9.53,44.21,31.36,33,24.28,5.44,9.26,3.82
Jamal Murray,DEN,PG/SG,"7,900",39.31,9.96,46.03,32.59,35,24.25,9.76,6.06,-3.7
Ivica Zubac,LAC,C,"7,700",38.21,9.99,44.95,31.47,36,23.76,,,
Tyler Herro,MIA,PG/SG,"8,700",42.37,10.54,49.48,35.27,37,23.65,10.68,5.08,-5.6
Mason Plumlee,PHX,C,"4,700",24.73,9.48,31.13,18.34,35,23.53,12.26,6.34,-5.92
Anfernee Simons,POR,PG,"6,500",32.85,9.63,39.35,26.36,35,23.42,6.24,7.84,1.6
Donte DiVincenzo,MIN,PG/SG,"4,900",25.66,9.03,31.76,19.57,34,22.48,12.32,9.82,-2.5
Andrew Nembhard,IND,PG/SG,"5,100",26.4,9.14,32.57,20.23,35,22.16,9.88,8.62,-1.26
Terry Rozier,MIA,PG/SG,"4,900",25.71,8.8,31.64,19.78,33,22.03,10.76,10.06,-0.7
