Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4611832761,NBA $10K High Five [Single Entry],173176502,$5,Tyus Jones (37345909) (LOCKED),Dalano Banton (37346152),Cam Whitmore (37345967),Jalen Williams (37345767) (LOCKED),Jaylin Williams (37346032) (LOCKED),Shai Gilgeous-Alexander (37345727) (LOCKED),Evan Mobley (37345758) (LOCKED),Alperen Sengun (37345746),,1. Column A lists all of your contest entries for this draftgroup
4611828427,NBA $2K Elbow Shot [Single Entry],173176508,$2,Shai Gilgeous-Alexander (37345727) (LOCKED),Kris Dunn (37346015),Grayson Allen (37345912) (LOCKED),Kenrich Williams (37346061) (LOCKED),Jaylin Williams (37346032) (LOCKED),Cade Cunningham (37345730) (LOCKED),Kevin Durant (37345735) (LOCKED),Myles Turner (37345838) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4611832893,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Dalano Banton (37346152),Ausar Thompson (37345893) (LOCKED),Evan Mobley (37345758) (LOCKED),Jaylin Williams (37346032) (LOCKED),Anfernee Simons (37345809),Jalen Williams (37345767) (LOCKED),Myles Turner (37345838) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4611832894,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Devin Booker (37345739) (LOCKED),Cason Wallace (37345917) (LOCKED),Cam Whitmore (37345967),Kenrich Williams (37346061) (LOCKED),Ivica Zubac (37345796),Cade Cunningham (37345730) (LOCKED),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4611832895,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,De'Aaron Fox (37345748),Dalano Banton (37346152),Toumani Camara (37345885),Kevin Durant (37345735) (LOCKED),Alperen Sengun (37345746),Tyus Jones (37345909) (LOCKED),Jalen Williams (37345767) (LOCKED),Jaylin Williams (37346032) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
4611832896,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Shaedon Sharpe (37345826),Luguentz Dort (37345935) (LOCKED),Obi Toppin (37345960) (LOCKED),Ivica Zubac (37345796),Scoot Henderson (37345859),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),,
4611832897,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Kris Dunn (37346015),Grayson Allen (37345912) (LOCKED),Jalen Williams (37345767) (LOCKED),Jaylin Williams (37346032) (LOCKED),Cade Cunningham (37345730) (LOCKED),Norman Powell (37345802),Dalano Banton (37346152),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
4611832898,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Scoot Henderson (37345859),Devin Booker (37345739) (LOCKED),Cam Whitmore (37345967),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),Tyus Jones (37345909) (LOCKED),Evan Mobley (37345758) (LOCKED),Jarrett Allen (37345815) (LOCKED),,PG,Shai Gilgeous-Alexander (37345727) (LOCKED),Shai Gilgeous-Alexander,37345727,PG/G/UTIL,10500,In Progress,OKC,52.74
4611832899,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Kris Dunn (37346015),Grayson Allen (37345912) (LOCKED),Kevin Durant (37345735) (LOCKED),Domantas Sabonis (37345733),Anfernee Simons (37345809),Kenrich Williams (37346061) (LOCKED),Jaylin Williams (37346032) (LOCKED),,PG,Cade Cunningham (37345730) (LOCKED),Cade Cunningham,37345730,PG/G/UTIL,10300,Final,DET,50.62
4611832900,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Tyus Jones (37345909) (LOCKED),Devin Booker (37345739) (LOCKED),Derrick Jones Jr. (37346050),Evan Mobley (37345758) (LOCKED),Ivica Zubac (37345796),Shai Gilgeous-Alexander (37345727) (LOCKED),Luguentz Dort (37345935) (LOCKED),Jaylin Williams (37346032) (LOCKED),,C,Domantas Sabonis (37345733),Domantas Sabonis,37345733,C/UTIL,9800,HOU@SAC 01/16/2025 10:00PM ET,SAC,51.01
4611832901,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Anfernee Simons (37345809),Dalano Banton (37346152),Derrick Jones Jr. (37346050),Kevin Durant (37345735) (LOCKED),Deandre Ayton (37345836),Cade Cunningham (37345730) (LOCKED),Jalen Williams (37345767) (LOCKED),Jaylin Williams (37346032) (LOCKED),,PF/C,Kevin Durant (37345735) (LOCKED),Kevin Durant,37345735,PF/C/F/UTIL,9200,Final,PHX,45.29
4611832902,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Cason Wallace (37345917) (LOCKED),Cam Whitmore (37345967),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),Scoot Henderson (37345859),Norman Powell (37345802),Myles Turner (37345838) (LOCKED),,PG/SG,Devin Booker (37345739) (LOCKED),Devin Booker,37345739,PG/SG/G/UTIL,9100,Final,PHX,43.82
4611832903,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Dalano Banton (37346152),Devin Booker (37345739) (LOCKED),Amir Coffey (37346025),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),Grayson Allen (37345912) (LOCKED),Evan Mobley (37345758) (LOCKED),Domantas Sabonis (37345733),,PG,James Harden (37345743),James Harden,37345743,PG/G/UTIL,9100,LAC@POR 01/16/2025 10:00PM ET,LAC,45.01
4611832904,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Shaedon Sharpe (37345826),Ausar Thompson (37345893) (LOCKED),Kenrich Williams (37346061) (LOCKED),Jaylin Williams (37346032) (LOCKED),Tyus Jones (37345909) (LOCKED),Kevin Durant (37345735) (LOCKED),Alperen Sengun (37345746),,C,Alperen Sengun (37345746),Alperen Sengun,37345746,C/UTIL,8900,HOU@SAC 01/16/2025 10:00PM ET,HOU,44.28
4611832905,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Dalano Banton (37346152),Cam Whitmore (37345967),Jalen Williams (37345767) (LOCKED),Jaylin Williams (37346032) (LOCKED),Jalen Green (37345787),Evan Mobley (37345758) (LOCKED),Myles Turner (37345838) (LOCKED),,PG,De'Aaron Fox (37345748),De'Aaron Fox,37345748,PG/G/UTIL,8500,HOU@SAC 01/16/2025 10:00PM ET,SAC,45.64
4611832906,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Cason Wallace (37345917) (LOCKED),Kris Dunn (37346015),Ausar Thompson (37345893) (LOCKED),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),Cade Cunningham (37345730) (LOCKED),Jalen Williams (37345767) (LOCKED),Ivica Zubac (37345796),,PG,Tyrese Haliburton (37345751) (LOCKED),Tyrese Haliburton,37345751,PG/G/UTIL,8400,Final,IND,40.68
4611832907,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,De'Aaron Fox (37345748),Devin Booker (37345739) (LOCKED),Grayson Allen (37345912) (LOCKED),Alexandre Sarr (37345845) (LOCKED),Ivica Zubac (37345796),Dalano Banton (37346152),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),,PG/SG,Donovan Mitchell (37345754) (LOCKED),Donovan Mitchell,37345754,PG/SG/G/UTIL,8200,In Progress,CLE,39.78
4611832908,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Devin Booker (37345739) (LOCKED),Amir Coffey (37346025),Obi Toppin (37345960) (LOCKED),Jarrett Allen (37345815) (LOCKED),Tyus Jones (37345909) (LOCKED),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),,SG/SF,Amen Thompson (37345762),Amen Thompson,37345762,SG/SF/F/G/UTIL,8100,HOU@SAC 01/16/2025 10:00PM ET,HOU,30.24
4611832909,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Dalano Banton (37346152),Norman Powell (37345802),Evan Mobley (37345758) (LOCKED),Ivica Zubac (37345796),Anfernee Simons (37345809),Luguentz Dort (37345935) (LOCKED),Jaylin Williams (37346032) (LOCKED),,PF/C,Evan Mobley (37345758) (LOCKED),Evan Mobley,37345758,PF/C/F/UTIL,8100,In Progress,CLE,39.64
4611832910,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Kris Dunn (37346015),Grayson Allen (37345912) (LOCKED),Kenrich Williams (37346061) (LOCKED),Jaylin Williams (37346032) (LOCKED),Cade Cunningham (37345730) (LOCKED),Jalen Williams (37345767) (LOCKED),Ivica Zubac (37345796),,PF,Jalen Williams (37345767) (LOCKED),Jalen Williams,37345767,PF/F/UTIL,8000,In Progress,OKC,40.24
4611832911,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Scoot Henderson (37345859),Devin Booker (37345739) (LOCKED),Bilal Coulibaly (37345856) (LOCKED),Jalen Williams (37345767) (LOCKED),Jaylin Williams (37346032) (LOCKED),Dalano Banton (37346152),Kevin Durant (37345735) (LOCKED),Deandre Ayton (37345836),,PF,Chet Holmgren (37345770) (LOCKED),Chet Holmgren,37345770,PF/F/UTIL,7900,In Progress,OKC,37.22
4611832912,NBA $6K Sharpshooter [20 Entry Max],173176512,$3,Shai Gilgeous-Alexander (37345727) (LOCKED),Shaedon Sharpe (37345826),Norman Powell (37345802),Kenrich Williams (37346061) (LOCKED),Deandre Ayton (37345836),Tyus Jones (37345909) (LOCKED),Kevin Durant (37345735) (LOCKED),Jaylin Williams (37346032) (LOCKED),,PG/SG,Jordan Poole (37345779) (LOCKED),Jordan Poole,37345779,PG/SG/G/UTIL,7500,Final,WAS,36.26
4611827908,NBA $4K Quarter Jukebox [Just $0.25!],173176514,$0.25,Shaedon Sharpe (37345826),Devin Booker (37345739) (LOCKED),Luguentz Dort (37345935) (LOCKED),Kevin Durant (37345735) (LOCKED),Domantas Sabonis (37345733),Cason Wallace (37345917) (LOCKED),Grayson Allen (37345912) (LOCKED),Jaylin Williams (37346032) (LOCKED),,PG,Fred VanVleet (37345776),Fred VanVleet,37345776,PG/G/UTIL,7500,HOU@SAC 01/16/2025 10:00PM ET,HOU,34.24
4611827909,NBA $4K Quarter Jukebox [Just $0.25!],173176514,$0.25,Tyus Jones (37345909) (LOCKED),Dalano Banton (37346152),Cam Whitmore (37345967),Kevin Durant (37345735) (LOCKED),Mason Plumlee (37345928) (LOCKED),Shai Gilgeous-Alexander (37345727) (LOCKED),Evan Mobley (37345758) (LOCKED),Ivica Zubac (37345796),,PG,Darius Garland (37345773) (LOCKED),Darius Garland,37345773,PG/G/UTIL,7500,In Progress,CLE,37.26
