"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Collin Sexton","6,000","PG/SG","ATL@UTA","UTA","ATL","61.4"
"Naji Marshall","4,600","SF/PF","LAL@DAL","DAL","LAL","49.2"
"Amen Thompson","6,600","SG/SF","HOU@WAS","HOU","WAS","47.3"
"Dereck Lively II","5,100","C","LAL@DAL","DAL","LAL","44.9"
"Naz Reid","4,500","PF/C","MIN@NOP","MIN","NOP","33.0"
"Trae Young","9,700","PG","ATL@UTA","ATL","UTA","31.0"
"Anthony Edwards","8,400","SG","MIN@NOP","MIN","NOP","29.7"
"Donte DiVincenzo","4,800","PG/SG","MIN@NOP","MIN","NOP","28.6"
"Lauri Markkanen","7,400","SF/PF","ATL@UTA","UTA","ATL","25.2"
"Jalen Green","6,300","SG","HOU@WAS","HOU","WAS","22.9"
"Austin Reaves","7,300","PG","LAL@DAL","LAL","DAL","20.9"
"Andrew Wiggins","5,900","SF/PF","MIA@GSW","GSW","MIA","19.3"
"Walker Kessler","6,400","C","ATL@UTA","UTA","ATL","19.1"
"Jayson Tatum","10,000","SF/PF","BOS@DEN","BOS","DEN","18.1"
"Rudy Gobert","5,500","C","MIN@NOP","MIN","NOP","17.9"
"Kyle Kuzma","6,000","PF","HOU@WAS","WAS","HOU","11.8"
"Jaden McDaniels","4,300","SF","MIN@NOP","MIN","NOP","11.8"
"Onyeka Okongwu","4,600","C","ATL@UTA","ATL","UTA","11.6"
"Jaime Jaquez Jr.","5,200","SF/PF","MIA@GSW","MIA","GSW","11.2"
"Nikola Jokic","12,500","C","BOS@DEN","DEN","BOS","10.8"
"Michael Porter Jr.","6,300","SF/PF","BOS@DEN","DEN","BOS","10.7"
"Brandon Boston Jr.","3,500","SG/SF","MIN@NOP","NOP","MIN","10.3"
"Anthony Davis","10,500","C","LAL@DAL","LAL","DAL","10.2"
"Kristaps Porzingis","6,900","C","BOS@DEN","BOS","DEN","10.2"
"Draymond Green","5,800","PF/C","MIA@GSW","GSW","MIA","10.2"
"Stephen Curry","8,700","PG","MIA@GSW","GSW","MIA","10.1"
"Isaiah Collier","4,200","PG","ATL@UTA","UTA","ATL","9.5"
"LaMelo Ball","9,500","PG","PHX@CHA","CHA","PHX","8.8"
