Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jayson Tatum (36987508),Jayson Tatum,36987508,SF/PF/F/UTIL,9800,DET@BOS 12/12/2024 07:30PM ET,BOS,52.59
PG,Cade Cunningham (36987512),Cade Cunningham,36987512,PG/G/UTIL,9600,DET@BOS 12/12/2024 07:30PM ET,DET,50.92
C,Domantas Sabonis (36987515),Domantas Sabonis,36987515,C/UTIL,9500,SAC@NOP 12/12/2024 08:00PM ET,SAC,49.01
PG/SF,Scottie Barnes (36987517),Scottie Barnes,36987517,PG/SF/F/G/UTIL,9400,TOR@MIA 12/12/2024 07:30PM ET,TOR,46.36
PG,De'Aaron Fox (36987522),De'Aaron Fox,36987522,PG/G/UTIL,9000,SAC@NOP 12/12/2024 08:00PM ET,SAC,45.19
SF,RJ Barrett (36987525),RJ Barrett,36987525,SF/F/UTIL,8800,TOR@MIA 12/12/2024 07:30PM ET,TOR,42.64
PF,Zion Williamson (36987528),Zion Williamson,36987528,PF/F/UTIL,8700,SAC@NOP 12/12/2024 08:00PM ET,NOP,43.42
PG,Dejounte Murray (36987531),Dejounte Murray,36987531,PG/G/UTIL,8300,SAC@NOP 12/12/2024 08:00PM ET,NOP,38.59
SG/SF,Jaylen Brown (36987534),Jaylen Brown,36987534,SG/SF/F/G/UTIL,8200,DET@BOS 12/12/2024 07:30PM ET,BOS,42.55
PG,Brandon Ingram (36987539),Brandon Ingram,36987539,PG/G/UTIL,8200,SAC@NOP 12/12/2024 08:00PM ET,NOP,39.19
C,Bam Adebayo (36987542),Bam Adebayo,36987542,C/UTIL,8100,TOR@MIA 12/12/2024 07:30PM ET,MIA,41.57
SF/PF,DeMar DeRozan (36987544),DeMar DeRozan,36987544,SF/PF/F/UTIL,7900,SAC@NOP 12/12/2024 08:00PM ET,SAC,37.04
PG,Tyler Herro (36987548),Tyler Herro,36987548,PG/G/UTIL,7700,TOR@MIA 12/12/2024 07:30PM ET,MIA,41.20
C,Jakob Poeltl (36987551),Jakob Poeltl,36987551,C/UTIL,7500,TOR@MIA 12/12/2024 07:30PM ET,TOR,39.10
SF/PF,Jimmy Butler (36987553),Jimmy Butler,36987553,SF/PF/F/UTIL,7400,TOR@MIA 12/12/2024 07:30PM ET,MIA,35.69
PG/SG,CJ McCollum (36987563),CJ McCollum,36987563,PG/SG/G/UTIL,7400,SAC@NOP 12/12/2024 08:00PM ET,NOP,35.25
C,Kristaps Porzingis (36987557),Kristaps Porzingis,36987557,C/UTIL,7300,DET@BOS 12/12/2024 07:30PM ET,BOS,38.65
PG/SG,Malik Monk (36987567),Malik Monk,36987567,PG/SG/G/UTIL,7300,SAC@NOP 12/12/2024 08:00PM ET,SAC,30.51
PG/SG,Jaden Ivey (36987559),Jaden Ivey,36987559,PG/SG/G/UTIL,7200,DET@BOS 12/12/2024 07:30PM ET,DET,31.29
PG,Immanuel Quickley (36987571),Immanuel Quickley,36987571,PG/G/UTIL,6800,TOR@MIA 12/12/2024 07:30PM ET,TOR,25.5
PG/SG,Derrick White (36987574),Derrick White,36987574,PG/SG/G/UTIL,6700,DET@BOS 12/12/2024 07:30PM ET,BOS,35.91
SG/SF,Trey Murphy III (36987578),Trey Murphy III,36987578,SG/SF/F/G/UTIL,6500,SAC@NOP 12/12/2024 08:00PM ET,NOP,31.73
C,Kelly Olynyk (36987583),Kelly Olynyk,36987583,C/UTIL,6000,TOR@MIA 12/12/2024 07:30PM ET,TOR,20
PF,Tobias Harris (36987585),Tobias Harris,36987585,PF/F/UTIL,5900,DET@BOS 12/12/2024 07:30PM ET,DET,29.91
SG,Gradey Dick (36987591),Gradey Dick,36987591,SG/G/UTIL,5800,TOR@MIA 12/12/2024 07:30PM ET,TOR,27.44
PG,Jose Alvarado (36987588),Jose Alvarado,36987588,PG/G/UTIL,5800,SAC@NOP 12/12/2024 08:00PM ET,NOP,24.23
SF/PF,Keegan Murray (36987594),Keegan Murray,36987594,SF/PF/F/UTIL,5700,SAC@NOP 12/12/2024 08:00PM ET,SAC,27.99
C,Jalen Duren (36987598),Jalen Duren,36987598,C/UTIL,5600,DET@BOS 12/12/2024 07:30PM ET,DET,26.38
PG/SG,Payton Pritchard (36987600),Payton Pritchard,36987600,PG/SG/G/UTIL,5400,DET@BOS 12/12/2024 07:30PM ET,BOS,28.18
SF/PF,Ochai Agbaji (36987604),Ochai Agbaji,36987604,SF/PF/F/UTIL,5400,TOR@MIA 12/12/2024 07:30PM ET,TOR,23.17
SG/SF,Malik Beasley (36987608),Malik Beasley,36987608,SG/SF/F/G/UTIL,5200,DET@BOS 12/12/2024 07:30PM ET,DET,25.51
C,Trey Lyles (36987619),Trey Lyles,36987619,C/UTIL,5100,SAC@NOP 12/12/2024 08:00PM ET,SAC,14.54
PG,Jrue Holiday (36987621),Jrue Holiday,36987621,PG/G/UTIL,5000,DET@BOS 12/12/2024 07:30PM ET,BOS,26.42
C,Yves Missi (36987613),Yves Missi,36987613,C/UTIL,5000,SAC@NOP 12/12/2024 08:00PM ET,NOP,25.08
SF/PF,Herbert Jones (36987615),Herbert Jones,36987615,SF/PF/F/UTIL,5000,SAC@NOP 12/12/2024 08:00PM ET,NOP,22.5
