"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Spencer Dinwiddie","34.89","PG","DAL","SAC","35.6","5,200","6.71","8.89"
"Vasilije Micic","29.18","PG","CHA","CHI","31.2","4,600","6.34","6.18"
"Mark Williams","30.95","C","CHA","CHI","23.6","5,300","5.84","4.45"
"Miles Bridges","41.18","PF","CHA","CHI","34.2","7,300","5.64","4.68"
"Kris Dunn","22.97","PG/SG","LAC","NOP","27.7","4,100","5.60","2.47"
"Walker Kessler","34.43","C","UTA","DEN","30.6","6,200","5.55","3.43"
"Jamal Murray","42.65","PG/SG","DEN","UTA","37.5","7,700","5.54","4.15"
"Jonathan Kuminga","32.13","PF","GSW","CLE","29.7","5,800","5.54","3.13"
"Kevin Porter Jr.","24.09","PG","LAC","NOP","22.8","4,400","5.48","2.09"
"Russell Westbrook","33.95","PG","DEN","UTA","28.6","6,300","5.39","2.45"
"Klay Thompson","30.04","SG/SF","DAL","SAC","31.7","5,600","5.37","2.04"
"Quentin Grimes","27.38","SG/SF","DAL","SAC","29.7","5,100","5.37","1.88"
"Domantas Sabonis","49.74","C","SAC","DAL","35.8","9,300","5.35","3.24"
"Dereck Lively II","29.31","C","DAL","SAC","26.8","5,500","5.33","1.81"
"Joel Embiid","50.54","C","PHI","POR","32.8","9,500","5.32","3.04"
"Nikola Jokic","63.72","C","DEN","UTA","36.5","12,000","5.31","3.72"
"Trayce Jackson-Davis","26.01","C","GSW","CLE","23.8","4,900","5.31","1.51"
"Precious Achiuwa","19.10","PF/C","NYK","WAS","18.5","3,600","5.30","1.10"
"Andrew Wiggins","28.58","SF/PF","GSW","CLE","31.7","5,400","5.29","1.58"
"Lauri Markkanen","37.98","SF/PF","UTA","DEN","34.0","7,200","5.28","1.98"
"Karl-Anthony Towns","51.35","C","NYK","WAS","32.9","9,800","5.24","2.35"
"Tyrese Maxey","45.10","PG","PHI","POR","37.8","8,600","5.24","2.10"
"PJ Washington","34.98","PF","DAL","SAC","35.6","6,700","5.22","1.48"
"Mikal Bridges","32.34","SG/SF","NYK","WAS","38.6","6,200","5.22","1.34"
"Keyonte George","29.73","PG","UTA","DEN","29.5","5,700","5.22","1.23"
"Jalen Brunson","43.72","PG","NYK","WAS","33.9","8,400","5.20","1.72"
"De'Aaron Fox","45.61","PG","SAC","DAL","36.8","8,800","5.18","1.61"
"Christian Braun","25.39","SG/SF","DEN","UTA","30.6","4,900","5.18","0.89"
"Tidjane Salaun","19.70","PF","CHA","CHI","26.7","3,800","5.18","0.70"
"Jaden Hardy","20.60","PG/SG","DAL","SAC","22.9","4,000","5.15","0.60"
"James Harden","46.65","PG","LAC","NOP","34.6","9,100","5.13","1.15"
"Josh Hart","34.81","SF/PF","NYK","WAS","35.8","6,800","5.12","0.81"
"Mo Bamba","15.31","C","LAC","NOP","13.6","3,000","5.10","0.31"
"Draymond Green","29.94","PF/C","GSW","CLE","30.7","5,900","5.08","0.44"
"Daniel Gafford","25.41","C","DAL","SAC","19.8","5,000","5.08","0.41"
"Deandre Ayton","33.44","C","POR","PHI","31.5","6,600","5.07","0.44"
"Jordan Clarkson","29.33","SG","UTA","DEN","28.1","5,800","5.06","0.33"
"Michael Porter Jr.","33.31","SF/PF","DEN","UTA","33.6","6,600","5.05","0.31"
"Darius Garland","35.76","PG","CLE","GSW","32.0","7,100","5.04","0.26"
"Donovan Mitchell","41.21","PG/SG","CLE","GSW","32.5","8,200","5.03","0.21"
"Trey Murphy III","34.62","SG/SF","NOP","LAC","34.9","6,900","5.02","0.12"
"Keegan Murray","25.03","PF","SAC","DAL","33.8","5,000","5.01","0.03"
"Jarrett Allen","31.50","C","CLE","GSW","29.9","6,300","5.00","0.00"
"Patrick Williams","20.98","PF","CHI","CHA","26.9","4,200","4.99","-0.02"
"Derrick Jones Jr.","18.46","PF","LAC","NOP","23.8","3,700","4.99","-0.04"
"Evan Mobley","38.56","PF/C","CLE","GSW","31.0","7,800","4.94","-0.44"
"Dejounte Murray","41.88","PG","NOP","LAC","34.9","8,500","4.93","-0.62"
"Ivica Zubac","37.39","C","LAC","NOP","33.2","7,600","4.92","-0.61"
"Coby White","32.00","PG/SG","CHI","CHA","32.9","6,500","4.92","-0.50"
"Norman Powell","35.81","SG/SF","LAC","NOP","35.1","7,300","4.91","-0.69"
"OG Anunoby","29.46","SF/PF","NYK","WAS","33.9","6,000","4.91","-0.54"
"Dennis Schroder","25.98","PG/SG","GSW","CLE","29.7","5,300","4.90","-0.52"
"Stephen Curry","43.90","PG","GSW","CLE","34.2","9,000","4.88","-1.10"
"CJ McCollum","34.97","PG/SG","NOP","LAC","33.3","7,200","4.86","-1.03"
"Alexandre Sarr","27.23","PF/C","WAS","NYK","27.2","5,600","4.86","-0.77"
"Paul George","36.36","SG/SF","PHI","POR","33.8","7,500","4.85","-1.14"
"Kelly Oubre Jr.","26.18","SG","PHI","POR","33.8","5,400","4.85","-0.82"
"Caleb Martin","20.85","SF/PF","PHI","POR","31.8","4,300","4.85","-0.65"
"Josh Giddey","33.38","PG","CHI","CHA","27.9","6,900","4.84","-1.12"
"Yves Missi","29.54","C","NOP","LAC","30.9","6,100","4.84","-0.96"
"Anfernee Simons","32.20","PG","POR","PHI","32.5","6,700","4.81","-1.30"
"Zach LaVine","35.55","SG/SF","CHI","CHA","34.0","7,400","4.80","-1.45"
"Julian Strawther","16.31","SG/SF","DEN","UTA","22.3","3,400","4.80","-0.69"
"Jerami Grant","24.85","PF","POR","PHI","31.5","5,200","4.78","-1.15"
"Nikola Vucevic","39.58","C","CHI","CHA","32.0","8,300","4.77","-1.92"
"Miles McBride","17.91","PG/SG","NYK","WAS","22.4","3,800","4.71","-1.09"
"Collin Sexton","28.61","PG/SG","UTA","DEN","28.6","6,100","4.69","-1.89"
"DaQuan Jeffries","14.52","PF","CHA","CHI","16.6","3,100","4.68","-0.98"
"Malik Monk","32.60","PG/SG","SAC","DAL","32.8","7,000","4.66","-2.40"
"Jalen Smith","18.58","C","CHI","CHA","16.0","4,000","4.65","-1.42"
"Shaedon Sharpe","27.71","PG/SG","POR","PHI","30.5","6,000","4.62","-2.29"
"Toumani Camara","21.10","SG/SF","POR","PHI","30.1","4,600","4.59","-1.90"
"Kevin Huerter","18.31","SG/SF","SAC","DAL","22.9","4,000","4.58","-1.69"
"Isaiah Wong","15.02","PG/SG","CHA","CHI","18.0","3,300","4.55","-1.48"
"Josh Green","20.37","SF/PF","CHA","CHI","32.2","4,500","4.53","-2.13"
"Bilal Coulibaly","29.31","SF","WAS","NYK","33.4","6,500","4.51","-3.19"
"Buddy Hield","17.03","SG","GSW","CLE","18.8","3,800","4.48","-1.97"
"Deni Avdija","24.59","SF/PF","POR","PHI","24.6","5,500","4.47","-2.91"
"Caris LeVert","21.25","PG/SG","CLE","GSW","23.0","4,800","4.43","-2.75"
"Seth Curry","15.48","SG","CHA","CHI","21.1","3,500","4.42","-2.02"
"Nick Richards","18.98","C","CHA","CHI","16.1","4,300","4.41","-2.52"
"Lonzo Ball","17.20","PG/SG","CHI","CHA","18.0","3,900","4.41","-2.30"
"DeMar DeRozan","33.58","SF","SAC","DAL","34.8","7,700","4.36","-4.92"
"Scoot Henderson","21.79","PG","POR","PHI","24.6","5,000","4.36","-3.21"
"Jonas Valanciunas","22.11","C","WAS","NYK","17.1","5,100","4.34","-3.39"
"Kyle Kuzma","27.70","PF","WAS","NYK","27.2","6,400","4.33","-4.30"
"Trey Lyles","16.36","PF/C","SAC","DAL","21.9","3,800","4.31","-2.64"
"Dean Wade","16.71","SF/PF","CLE","GSW","23.0","3,900","4.28","-2.79"
"Peyton Watson","18.65","PF","DEN","UTA","23.8","4,400","4.24","-3.35"
"Brandon Boston Jr.","15.69","PG/SF","NOP","LAC","17.0","3,700","4.24","-2.81"
"Jordan Poole","33.27","PG/SG","WAS","NYK","30.0","7,900","4.21","-6.23"
"Amir Coffey","15.17","SF/PF","LAC","NOP","24.8","3,600","4.21","-2.83"
"Max Strus","18.70","SG/SF","CLE","GSW","22.0","4,500","4.15","-3.80"
"Herbert Jones","22.91","SF/PF","NOP","LAC","32.9","5,700","4.02","-5.59"
"Malcolm Brogdon","23.55","PG/SG","WAS","NYK","24.3","5,900","3.99","-5.95"
"Donovan Clingan","14.11","C","POR","PHI","13.4","3,600","3.92","-3.89"
