PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Russell Westbrook (37223340),Buddy Hield (37223661),Ausar Thompson (37223550),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),Anfernee Simons (37223350),Draymond Green (37223411),Nikola Jokic (37223226),50000,283.42,6.460776513754169e-06,226.50000000000003,235.60000000000002,81.29
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Josh Hart (37223308),Nikola Jokic (37223226),Russell Westbrook (37223340),Draymond Green (37223411),Trayce Jackson-Davis (37223456),49800,283.36,6.331341187642292e-06,237.89999999999998,242.10000000000002,80.47
Russell Westbrook (37223340),Dennis Schroder (37223435),Ausar Thompson (37223550),Deni Avdija (37223389),Nikola Jokic (37223226),Buddy Hield (37223661),Pascal Siakam (37223320),Trayce Jackson-Davis (37223456),49900,283.67,1.2117558684465563e-05,243.2,239.3,81.66000000000001
Dennis Schroder (37223435),Devin Booker (37223255),Ausar Thompson (37223550),Draymond Green (37223411),Nikola Jokic (37223226),Buddy Hield (37223661),Tobias Harris (37223442),Trayce Jackson-Davis (37223456),49800,282.1,2.2464577080143715e-06,232.2,242.90000000000003,80.73
Russell Westbrook (37223340),Buddy Hield (37223661),Jaden McDaniels (37223564),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Anfernee Simons (37223350),Jonathan Kuminga (37223353),Nikola Jokic (37223226),49900,283.57,1.1797939720768484e-05,235.99999999999997,242.3,80.5
Russell Westbrook (37223340),Buddy Hield (37223661),Ausar Thompson (37223550),Pascal Siakam (37223320),Nikola Jokic (37223226),Dennis Schroder (37223435),Devin Vassell (37223384),Trayce Jackson-Davis (37223456),50000,284.03,1.129709898187154e-05,241.89999999999998,240.8,81.28999999999999
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Naz Reid (37223486),Bam Adebayo (37223273),Devin Vassell (37223384),Draymond Green (37223411),Nikola Jokic (37223226),50000,283.02,9.254162453547456e-06,231.70000000000002,241.3,81.25999999999999
Russell Westbrook (37223340),Dennis Schroder (37223435),Jaden McDaniels (37223564),Jaren Jackson Jr. (37223243),Nikola Jokic (37223226),Buddy Hield (37223661),Ausar Thompson (37223550),Trayce Jackson-Davis (37223456),49900,282.99,6.1170368359080955e-06,240.09999999999997,237.90000000000003,81.60000000000001
Russell Westbrook (37223340),Buddy Hield (37223661),Andrew Wiggins (37223418),Tobias Harris (37223442),Trayce Jackson-Davis (37223456),Devin Vassell (37223384),Draymond Green (37223411),Nikola Jokic (37223226),49900,282.08,1.2337752632917209e-05,225.3,245.3,80.33999999999999
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Pascal Siakam (37223320),Nikola Jokic (37223226),Devin Vassell (37223384),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),49800,287.02,3.995518095794272e-05,276.4,242.7,81.19
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Draymond Green (37223411),Nikola Jokic (37223226),Terry Rozier (37223458),Jaren Jackson Jr. (37223243),Trayce Jackson-Davis (37223456),49900,282.41,4.408935688626337e-06,234.89999999999998,234.79999999999998,81.11999999999999
Dennis Schroder (37223435),Donte DiVincenzo (37223467),Ausar Thompson (37223550),Jaren Jackson Jr. (37223243),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Draymond Green (37223411),Nikola Jokic (37223226),49900,282.36,5.099029970324372e-06,236.70000000000002,235.8,81.35
Jalen Brunson (37223259),Duncan Robinson (37223533),Ausar Thompson (37223550),Draymond Green (37223411),Nikola Jokic (37223226),Buddy Hield (37223661),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),50000,282.2,7.488627322760514e-06,226.7,233.40000000000003,80.84
Anfernee Simons (37223350),Devin Vassell (37223384),Ausar Thompson (37223550),Deni Avdija (37223389),Nikola Jokic (37223226),Buddy Hield (37223661),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),50000,282.61,9.121096254711768e-06,232.09999999999997,241.80000000000004,81.16
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Tobias Harris (37223442),Nikola Jokic (37223226),Tyrese Haliburton (37223279),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),49800,285.97,2.0209388907390886e-05,267.79999999999995,243.70000000000002,80.63
Russell Westbrook (37223340),Devin Vassell (37223384),Jaime Jaquez Jr. (37223527),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Draymond Green (37223411),Nikola Jokic (37223226),49900,282.78,1.3256083352924067e-05,235.00000000000003,236.90000000000003,80.66
Dennis Schroder (37223435),Buddy Hield (37223661),Deni Avdija (37223389),Draymond Green (37223411),Nikola Jokic (37223226),Russell Westbrook (37223340),Ausar Thompson (37223550),Jonathan Kuminga (37223353),49800,285.6,3.442925403998947e-05,266.8,242.6,81.38
Dennis Schroder (37223435),Terry Rozier (37223458),Ausar Thompson (37223550),Draymond Green (37223411),Karl-Anthony Towns (37223234),Buddy Hield (37223661),Jaden McDaniels (37223564),Nikola Jokic (37223226),49900,282.9,9.532833921354244e-06,232.8,242.2,80.35
Tyrese Haliburton (37223279),Dennis Schroder (37223435),Jaden McDaniels (37223564),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Deni Avdija (37223389),Nikola Jokic (37223226),50000,285.53,2.464336681310085e-05,255.59999999999997,248.40000000000003,80.4
Anthony Edwards (37223266),Buddy Hield (37223661),Jaden McDaniels (37223564),Jonathan Kuminga (37223353),Nikola Jokic (37223226),Devin Vassell (37223384),Ausar Thompson (37223550),Trayce Jackson-Davis (37223456),50000,283.36,1.5871225727303857e-05,237.8,244.2,80.82000000000001
Russell Westbrook (37223340),Buddy Hield (37223661),Ausar Thompson (37223550),Jonathan Kuminga (37223353),Nikola Jokic (37223226),Anfernee Simons (37223350),Andrew Wiggins (37223418),Trayce Jackson-Davis (37223456),49900,283.59,1.3138115368751496e-05,245.0,237.60000000000002,80.99000000000001
Russell Westbrook (37223340),Dennis Schroder (37223435),Jaden McDaniels (37223564),Ausar Thompson (37223550),Trayce Jackson-Davis (37223456),Devin Vassell (37223384),Jonathan Kuminga (37223353),Nikola Jokic (37223226),49800,283.45,2.1770451162981608e-05,244.29999999999998,245.5,80.92
Dennis Schroder (37223435),Donte DiVincenzo (37223467),Jaden McDaniels (37223564),Draymond Green (37223411),Nikola Jokic (37223226),Buddy Hield (37223661),Ausar Thompson (37223550),Karl-Anthony Towns (37223234),49900,282.85,1.102492966556621e-05,234.6,243.20000000000002,80.58
Russell Westbrook (37223340),Dennis Schroder (37223435),Devin Vassell (37223384),Ausar Thompson (37223550),Nikola Jokic (37223226),Buddy Hield (37223661),Draymond Green (37223411),Jonathan Kuminga (37223353),49900,285.96,3.209810663103185e-05,265.5,244.10000000000002,81.00999999999999
