PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Scotty Pippen Jr. (37170398),Luguentz Dort (37170453),Jayson Tatum (37170261),Nikola Jovic (37170519),Naz Reid (37170446),Trae Young (37170265),Jaren Jackson Jr. (37170314),Zaccharie Risacher (37170583),50000,272.0,1.6730524395041598e-06,202.5,235.70000000000002,78.85000000000001
Alec Burks (37170603),Jaylen Wells (37170484),Jake LaRavia (37170492),Jalen Williams (37170290),Julius Randle (37170325),Shai Gilgeous-Alexander (37170258),Jaren Jackson Jr. (37170314),Jay Huff (37170790),49800,269.36,1.2062981973929042e-06,166.2,235.2,78.30000000000001
Fred VanVleet (37170344),Jaylen Brown (37170295),Jake LaRavia (37170492),Jaren Jackson Jr. (37170314),Brandon Clarke (37170586),Jalen Green (37170373),Keldon Johnson (37170569),Jalen Johnson (37170273),50000,269.18,1.919632173871104e-06,174.0,245.60000000000005,78.17
Fred VanVleet (37170344),Payton Pritchard (37170387),Jaylen Brown (37170295),Al Horford (37170423),Rudy Gobert (37170376),Scotty Pippen Jr. (37170398),Jalen Johnson (37170273),Brandon Clarke (37170586),50000,269.13,2.01439237341888e-06,198.20000000000005,251.60000000000002,77.5
Tyrese Haliburton (37170300),Donte DiVincenzo (37170511),Zaccharie Risacher (37170583),Jake LaRavia (37170492),Jay Huff (37170790),Trae Young (37170265),Jalen Johnson (37170273),Julius Randle (37170325),49800,269.5,6.761860692852545e-07,163.1,240.8,77.30000000000001
Alec Burks (37170603),Payton Pritchard (37170387),Zaccharie Risacher (37170583),Jayson Tatum (37170261),Victor Wembanyama (37170256),Scotty Pippen Jr. (37170398),Desmond Bane (37170329),Jay Huff (37170790),50000,273.2,3.5455152092312457e-06,220.5,234.00000000000003,79.37
Scotty Pippen Jr. (37170398),Jalen Green (37170373),Zaccharie Risacher (37170583),Jaren Jackson Jr. (37170314),Victor Wembanyama (37170256),Desmond Bane (37170329),Jake LaRavia (37170492),Onyeka Okongwu (37170478),50000,271.14,1.0775511628926661e-06,184.5,233.50000000000003,80.22999999999999
Scotty Pippen Jr. (37170398),Anthony Edwards (37170286),Zaccharie Risacher (37170583),Jake LaRavia (37170492),Isaiah Hartenstein (37170318),Trae Young (37170265),Jaylen Wells (37170484),Jalen Green (37170373),49800,270.48,8.036090891291922e-07,171.6,243.8,78.33
Chris Paul (37170370),Payton Pritchard (37170387),Jake LaRavia (37170492),Jalen Williams (37170290),Bam Adebayo (37170293),Luguentz Dort (37170453),Jalen Johnson (37170273),Jay Huff (37170790),49900,268.92,2.645890909306445e-07,140.5,245.4,78.30000000000001
Shai Gilgeous-Alexander (37170258),Donte DiVincenzo (37170511),Devin Vassell (37170391),Jalen Williams (37170290),Jay Huff (37170790),Derrick White (37170336),Zaccharie Risacher (37170583),Fred VanVleet (37170344),49800,269.76,2.770332385413855e-06,173.89999999999998,241.60000000000002,77.7
Fred VanVleet (37170344),Jaylen Brown (37170295),Zaccharie Risacher (37170583),Jalen Johnson (37170273),Isaiah Hartenstein (37170318),Scotty Pippen Jr. (37170398),Naz Reid (37170446),Sam Hauser (37170525),49800,268.69,7.803505472130649e-07,184.9,242.7,77.72
Scottie Barnes (37170268),Desmond Bane (37170329),Devin Vassell (37170391),Jaren Jackson Jr. (37170314),Jay Huff (37170790),RJ Barrett (37170276),Zaccharie Risacher (37170583),Jake LaRavia (37170492),50000,269.6,7.807072991811509e-07,169.4,236.00000000000003,79.19999999999999
Scotty Pippen Jr. (37170398),Payton Pritchard (37170387),De'Andre Hunter (37170361),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Fred VanVleet (37170344),Brandon Clarke (37170586),Victor Wembanyama (37170256),50000,269.8,2.09796238647996e-06,215.29999999999995,233.50000000000003,79.89999999999999
Tyrese Haliburton (37170300),Devin Vassell (37170391),Jake LaRavia (37170492),Brandon Clarke (37170586),Alperen Sengun (37170284),Scottie Barnes (37170268),Naz Reid (37170446),Scotty Pippen Jr. (37170398),49800,268.89,4.848963878303999e-07,175.1,239.60000000000002,79.15
Payton Pritchard (37170387),Donte DiVincenzo (37170511),Desmond Bane (37170329),Jake LaRavia (37170492),Brandon Clarke (37170586),Devin Vassell (37170391),Jayson Tatum (37170261),Jalen Johnson (37170273),49900,269.97,4.97706008475312e-06,188.5,245.0,77.87
Terry Rozier (37170439),Andrew Nembhard (37170409),Jake LaRavia (37170492),Jalen Williams (37170290),Jaren Jackson Jr. (37170314),Scotty Pippen Jr. (37170398),Devin Vassell (37170391),Alperen Sengun (37170284),49900,271.66,9.019296766428478e-07,177.5,245.5,79.92
