PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Anthony Black (37027031),Austin Reaves (37026858),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Jared Butler (37027124),Jonathan Kuminga (37026881),Buddy Hield (37026973),50000,269.24,3.101586866241072e-05,233.3,237.9,80.88
Luka Doncic (37026735),Buddy Hield (37026973),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Jalen Suggs (37026798),Justin Champagnie (37026970),Goga Bitadze (37026910),50000,266.05,2.7378117917446225e-05,232.4,250.0,82.31
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Austin Reaves (37026858),Jayson Tatum (37026744),Jonathan Kuminga (37026881),49900,267.23,1.9626727521203784e-05,222.1,237.4,81.04
Jared Butler (37027124),Carlton Carrington (37026938),Justin Champagnie (37026970),Jayson Tatum (37026744),Goga Bitadze (37026910),Anthony Black (37027031),Jonathan Kuminga (37026881),Anthony Davis (37026740),49900,266.5,1.547572294072841e-05,223.3,236.9,81.43
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Kyrie Irving (37026783),Jonathan Kuminga (37026881),Jalen Suggs (37026798),50000,266.68,2.0173715376305826e-05,226.6,240.3,81.84
Anthony Black (37027031),Klay Thompson (37026988),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Anthony Davis (37026740),Buddy Hield (37026973),Justin Champagnie (37026970),Dereck Lively II (37026945),49900,267.41,2.723954694333444e-05,230.5,243.3,81.05
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),49800,268.37,2.4629860188937174e-05,227.3,241.8,82.59
Anthony Black (37027031),Kyrie Irving (37026783),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Jordan Poole (37026805),Jonathan Kuminga (37026881),Buddy Hield (37026973),49900,265.08,1.147469666000883e-05,215.0,245.5,81.46000000000001
Jrue Holiday (37026942),Anthony Black (37027031),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jared Butler (37027124),Justin Champagnie (37026970),Anthony Davis (37026740),49800,267.94,3.2772119168601335e-05,232.8,236.8,80.59
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jayson Tatum (37026744),Kristaps Porzingis (37026796),Buddy Hield (37026973),LeBron James (37026748),Dereck Lively II (37026945),50000,267.71,1.097047492458889e-05,199.3,231.70000000000002,81.59
Jalen Suggs (37026798),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Jared Butler (37027124),Jayson Tatum (37026744),Buddy Hield (37026973),49900,267.4,1.6826336539741063e-05,207.2,237.0,81.75
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Julius Randle (37026792),Anthony Davis (37026740),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Goga Bitadze (37026910),50000,267.58,1.972057187872576e-05,227.2,239.4,82.16
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),Jayson Tatum (37026744),Goga Bitadze (37026910),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),49900,267.62,2.355379833602244e-05,226.4,242.4,82.3
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Klay Thompson (37026988),Jonathan Kuminga (37026881),Dereck Lively II (37026945),49800,268.16,2.848399325039033e-05,231.4,242.7,81.34
Jared Butler (37027124),Buddy Hield (37026973),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Anthony Davis (37026740),Anthony Black (37027031),Bilal Coulibaly (37026927),Goga Bitadze (37026910),49900,267.38,3.552009759091115e-05,230.79999999999998,239.0,81.31
Jordan Poole (37026805),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Goga Bitadze (37026910),49800,267.8,2.223205934196405e-05,224.2,244.1,83.03
