PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Nikola Jokic (36929997),Jordan Poole (36930110),Marcus Smart (36930285),Aaron Gordon (36930147),Christian Braun (36930189),Derrick White (36930106),Kevin Love (36930396),Klay Thompson (36930245),49900,256.39,6.893547382276839e-08,137.2,229.0,77.64
Carlton Carrington (36930293),Nikola Jokic (36929997),Bam Adebayo (36930056),Marcus Smart (36930285),OG Anunoby (36930138),Christian Braun (36930189),Alexandre Sarr (36930172),Isaiah Joe (36930360),49900,263.48,1.6550975235951938e-06,178.2,244.7,78.14
Carlton Carrington (36930293),Marvin Bagley III (36930299),Nikola Jokic (36929997),Jordan Poole (36930110),Mikal Bridges (36930150),OG Anunoby (36930138),Desmond Bane (36930120),Aaron Wiggins (36930341),50000,268.59,6.169237069174655e-06,200.2,242.9,78.57
Mikal Bridges (36930150),Aaron Gordon (36930147),Isaiah Hartenstein (36930086),Josh Hart (36930098),Alexandre Sarr (36930172),Derrick White (36930106),Oso Ighodaro (36930289),CJ McCollum (36930094),50000,252.05,3.0060794710646787e-08,115.7,259.7,76.69
Jared Butler (36930398),Nikola Jokic (36929997),Mason Plumlee (36930301),Jordan Poole (36930110),Jrue Holiday (36930224),OG Anunoby (36930138),Aaron Gordon (36930147),Trey Murphy III (36930128),50000,266.41,5.120286735308999e-06,199.3,241.1,78.75
Mason Plumlee (36930301),Mikal Bridges (36930150),Marcus Smart (36930285),OG Anunoby (36930138),Shai Gilgeous-Alexander (36930002),Scottie Barnes (36930013),Alexandre Sarr (36930172),Cason Wallace (36930312),49800,256.13,5.441825088148932e-07,147.2,247.3,77.81
Jared Butler (36930398),Marvin Bagley III (36930299),Nikola Jokic (36929997),Jordan Poole (36930110),Mikal Bridges (36930150),OG Anunoby (36930138),Alexandre Sarr (36930172),Santi Aldama (36930169),49900,265.1,3.169352634091654e-06,196.0,238.4,78.74
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Jrue Holiday (36930224),Scottie Barnes (36930013),Jimmy Butler (36930076),Alex Caruso (36930373),Cason Wallace (36930312),50000,261.49,8.096659741436698e-07,179.5,228.8,78.32
Mikal Bridges (36930150),Marcus Smart (36930285),OG Anunoby (36930138),Scottie Barnes (36930013),Desmond Bane (36930120),Jalen Brunson (36930040),Jonas Valanciunas (36930198),Aaron Wiggins (36930341),50000,254.42,1.3519778187636865e-07,130.8,238.9,77.87
Jared Butler (36930398),Nikola Jokic (36929997),Jrue Holiday (36930224),Tyler Herro (36930073),Desmond Bane (36930120),Jamal Murray (36930069),Justin Champagnie (36930405),Haywood Highsmith (36930378),50000,259.63,8.599378686479381e-07,161.7,232.4,77.46000000000001
Carlton Carrington (36930293),Nikola Jokic (36929997),Jordan Poole (36930110),Jay Huff (36930422),OG Anunoby (36930138),Michael Porter Jr. (36930102),Derrick White (36930106),Justin Champagnie (36930405),50000,264.8,1.095968897050634e-06,172.7,238.5,78.58
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mason Plumlee (36930301),Marcus Smart (36930285),OG Anunoby (36930138),Desmond Bane (36930120),Jaylen Brown (36930043),49700,266.66,1.1497880613560703e-05,215.1,235.6,79.64
