PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
De'Aaron Fox (37345748),Dalano Banton (37346152),Ausar Thompson (37345893),Kenrich Williams (37346061),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Evan Mobley (37345758),Alperen Sengun (37345746),49900,278.08,7.21945570049585e-07,181.9,226.1,79.9
Cason Wallace (37345917),Devin Booker (37345739),Grayson Allen (37345912),Obi Toppin (37345960),Ivica Zubac (37345796),Cade Cunningham (37345730),Jalen Williams (37345767),Jaylin Williams (37346032),50000,278.48,3.880207080487295e-06,217.90000000000003,240.6,78.81
Scoot Henderson (37345859),Jalen Green (37345787),Cam Whitmore (37345967),Kevin Durant (37345735),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Derrick Jones Jr. (37346050),Jarrett Allen (37345815),50000,278.4,3.769136017613223e-06,226.4,245.4,78.8
Tyus Jones (37345909),Kris Dunn (37346015),Bilal Coulibaly (37345856),Jalen Williams (37345767),Jaylin Williams (37346032),Anfernee Simons (37345809),Kevin Durant (37345735),Domantas Sabonis (37345733),50000,278.4,5.289556430949439e-06,226.29999999999998,250.20000000000005,78.25
Shai Gilgeous-Alexander (37345727),Dalano Banton (37346152),Cam Whitmore (37345967),Kevin Durant (37345735),Ivica Zubac (37345796),Anfernee Simons (37345809),Luguentz Dort (37345935),Myles Turner (37345838),50000,278.2,1.3647544854933503e-05,218.0,241.20000000000002,78.51
Tyus Jones (37345909),Shaedon Sharpe (37345826),Norman Powell (37345802),Evan Mobley (37345758),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Grayson Allen (37345912),Deandre Ayton (37345836),50000,278.15,6.794490396210251e-06,220.39999999999998,246.2,78.36999999999999
Cade Cunningham (37345730),Devin Booker (37345739),Toumani Camara (37345885),Kenrich Williams (37346061),Myles Turner (37345838),Cason Wallace (37345917),Kevin Durant (37345735),Jaylin Williams (37346032),50000,278.4,3.438191662692994e-06,219.40000000000003,250.70000000000002,77.78999999999999
Scoot Henderson (37345859),Devin Booker (37345739),Norman Powell (37345802),Jalen Williams (37345767),Jalen Duren (37345862),Dalano Banton (37346152),Evan Mobley (37345758),Jaylin Williams (37346032),50000,278.29,1.1930270385131825e-05,226.0,240.99999999999997,79.46
Darius Garland (37345773),Dalano Banton (37346152),Luguentz Dort (37345935),Alexandre Sarr (37345845),Ivica Zubac (37345796),Cade Cunningham (37345730),Kevin Durant (37345735),Jaylin Williams (37346032),50000,278.02,2.8572770715300005e-06,226.2,237.1,79.52
Tyus Jones (37345909),Kris Dunn (37346015),Amir Coffey (37346025),Evan Mobley (37345758),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Jalen Williams (37345767),Alperen Sengun (37345746),49800,278.25,2.0874232939410034e-06,200.40000000000003,240.79999999999998,78.94999999999999
De'Aaron Fox (37345748),Cason Wallace (37345917),Grayson Allen (37345912),Ryan Dunn (37345940),Deandre Ayton (37345836),Shai Gilgeous-Alexander (37345727),Kevin Durant (37345735),Jaylin Williams (37346032),50000,278.12,6.729559591611476e-07,209.3,247.4,78.2
Devin Booker (37345739),Kris Dunn (37346015),Grayson Allen (37345912),Jalen Williams (37345767),Ivica Zubac (37345796),Dalano Banton (37346152),Kevin Durant (37345735),Myles Turner (37345838),50000,278.17,1.2128954445521744e-05,219.1,242.4,77.84
Anfernee Simons (37345809),Shaedon Sharpe (37345826),Ausar Thompson (37345893),Evan Mobley (37345758),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Obi Toppin (37345960),Ivica Zubac (37345796),50000,278.02,2.675547439409828e-06,208.2,236.8,79.86
Cade Cunningham (37345730),Shaedon Sharpe (37345826),Cam Whitmore (37345967),Kevin Durant (37345735),Domantas Sabonis (37345733),Tyus Jones (37345909),Kenrich Williams (37346061),Jaylin Williams (37346032),49900,278.1,9.956303473111987e-06,231.79999999999995,237.70000000000002,78.07
Shai Gilgeous-Alexander (37345727),Dalano Banton (37346152),Norman Powell (37345802),Pascal Siakam (37345793),Jarrett Allen (37345815),Devin Booker (37345739),Kenrich Williams (37346061),Jaylin Williams (37346032),50000,278.13,1.0045006326640195e-05,227.39999999999998,231.50000000000003,78.56
Scoot Henderson (37345859),Donovan Mitchell (37345754),Derrick Jones Jr. (37346050),Kevin Durant (37345735),Alperen Sengun (37345746),Dalano Banton (37346152),Jalen Williams (37345767),Jaylin Williams (37346032),50000,278.37,1.5378684999342702e-06,218.2,240.79999999999998,79.53
Tyus Jones (37345909),Malik Monk (37345783),Toumani Camara (37345885),Kevin Durant (37345735),Jarrett Allen (37345815),Shai Gilgeous-Alexander (37345727),Luguentz Dort (37345935),Jaylin Williams (37346032),50000,278.01,3.4087419727930637e-06,226.7,254.70000000000002,78.08
Anfernee Simons (37345809),Dalano Banton (37346152),Cam Whitmore (37345967),Evan Mobley (37345758),Alperen Sengun (37345746),De'Aaron Fox (37345748),Jalen Williams (37345767),Jaylin Williams (37346032),50000,278.29,2.36912575653932e-06,197.3,238.10000000000002,79.58
Scoot Henderson (37345859),Grayson Allen (37345912),Ausar Thompson (37345893),Alexandre Sarr (37345845),Ivica Zubac (37345796),Cade Cunningham (37345730),Kevin Durant (37345735),Jaylin Williams (37346032),50000,278.12,8.888511745947107e-06,233.89999999999998,241.20000000000002,79.72
