PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Ja Morant (37295147),Donte DiVincenzo (37295251),Jaime Jaquez Jr. (37295217),Julius Randle (37295181),Donovan Clingan (37295456),Cade Cunningham (37295119),Jaden McDaniels (37295320),Jalen Duren (37295235),49800,265.13,4.314955631306988e-05,266.0,235.4,80.05000000000001
Mike Conley (37295379),Tyler Herro (37295140),Scottie Barnes (37295135),Jaime Jaquez Jr. (37295217),Donovan Clingan (37295456),Cade Cunningham (37295119),Jaden McDaniels (37295320),Rudy Gobert (37295237),50000,265.17,5.662875755475623e-05,258.40000000000003,244.0,78.74
Cade Cunningham (37295119),Donte DiVincenzo (37295251),Jaden McDaniels (37295320),Nikola Jovic (37295268),Donovan Clingan (37295456),Anthony Edwards (37295132),RJ Barrett (37295150),Jalen Duren (37295235),49900,265.15,4.0807176688250684e-05,259.29999999999995,237.3,79.68
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Donovan Clingan (37295456),Cade Cunningham (37295119),Julius Randle (37295181),Rudy Gobert (37295237),49900,268.85,9.339803624171251e-05,280.7,240.8,79.69
Cade Cunningham (37295119),Donte DiVincenzo (37295251),RJ Barrett (37295150),Julius Randle (37295181),Donovan Clingan (37295456),Immanuel Quickley (37295197),Jaden McDaniels (37295320),Rudy Gobert (37295237),49900,265.69,5.9202552960090016e-05,269.4,246.3,78.92999999999999
Cade Cunningham (37295119),Donte DiVincenzo (37295251),RJ Barrett (37295150),Julius Randle (37295181),Rudy Gobert (37295237),Mike Conley (37295379),Nikola Jovic (37295268),Jalen Duren (37295235),50000,265.44,5.936608726788823e-05,259.3,240.4,78.34
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaden McDaniels (37295320),Jaime Jaquez Jr. (37295217),Donovan Clingan (37295456),Cade Cunningham (37295119),Desmond Bane (37295164),Rudy Gobert (37295237),49800,265.46,2.9892937416501205e-05,265.7,244.1,79.55
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Jalen Duren (37295235),Cade Cunningham (37295119),Julius Randle (37295181),Donovan Clingan (37295456),50000,267.85,7.732488581872014e-05,273.3,233.9,80.35
Cade Cunningham (37295119),Anthony Edwards (37295132),Jaden McDaniels (37295320),Nikola Jovic (37295268),Donovan Clingan (37295456),Mike Conley (37295379),Scottie Barnes (37295135),Jakob Poeltl (37295200),49800,266.28,6.98929638836773e-05,268.7,238.3,79.13
Scoot Henderson (37295298),Anthony Edwards (37295132),Toumani Camara (37295290),Tobias Harris (37295207),Rudy Gobert (37295237),Cade Cunningham (37295119),Julius Randle (37295181),Donovan Clingan (37295456),50000,265.01,2.65945044716469e-05,254.4,247.20000000000002,78.60999999999999
Cade Cunningham (37295119),Anthony Edwards (37295132),Toumani Camara (37295290),Julius Randle (37295181),Donovan Clingan (37295456),Donte DiVincenzo (37295251),Nikola Jovic (37295268),Jakob Poeltl (37295200),50000,265.28,4.673760601598183e-05,261.09999999999997,242.50000000000003,79.05
Cade Cunningham (37295119),Shaedon Sharpe (37295221),Jaden McDaniels (37295320),Deni Avdija (37295185),Jalen Duren (37295235),Scoot Henderson (37295298),Julius Randle (37295181),Rudy Gobert (37295237),49800,265.01,0.0001327133050581469,285.9,250.10000000000002,79.22
Mike Conley (37295379),Anthony Edwards (37295132),Scottie Barnes (37295135),Naz Reid (37295264),Jakob Poeltl (37295200),Cade Cunningham (37295119),Jaden McDaniels (37295320),Donovan Clingan (37295456),49800,266.69,0.00011374737259500427,281.50000000000006,236.8,79.1
Cade Cunningham (37295119),Anthony Edwards (37295132),Scottie Barnes (37295135),Nikola Jovic (37295268),Donovan Clingan (37295456),Immanuel Quickley (37295197),Jaden McDaniels (37295320),Mike Conley (37295379),50000,265.3,5.335025053842824e-05,260.70000000000005,238.3,78.8
