PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Shai Gilgeous-Alexander (37345727),Dalano Banton (37346152),Ausar Thompson (37345893),Evan Mobley (37345758),Jaylin Williams (37346032),Anfernee Simons (37345809),Jalen Williams (37345767),Myles Turner (37345838),49900,281.45,6.2214283003013845e-06,215.5,234.4,80.53
Devin Booker (37345739),Cason Wallace (37345917),Cam Whitmore (37345967),Kenrich Williams (37346061),Ivica Zubac (37345796),Cade Cunningham (37345730),Kevin Durant (37345735),Jaylin Williams (37346032),50000,281.2,1.598722013690151e-05,248.0,239.4,78.26
De'Aaron Fox (37345748),Dalano Banton (37346152),Toumani Camara (37345885),Kevin Durant (37345735),Alperen Sengun (37345746),Tyus Jones (37345909),Jalen Williams (37345767),Jaylin Williams (37346032),50000,281.05,5.90575570182942e-06,230.3,247.6,78.98
Shai Gilgeous-Alexander (37345727),Shaedon Sharpe (37345826),Luguentz Dort (37345935),Obi Toppin (37345960),Ivica Zubac (37345796),Scoot Henderson (37345859),Kevin Durant (37345735),Jaylin Williams (37346032),49900,281.1,1.612467445965486e-05,253.8,248.0,79.15
Shai Gilgeous-Alexander (37345727),Kris Dunn (37346015),Grayson Allen (37345912),Jalen Williams (37345767),Jaylin Williams (37346032),Cade Cunningham (37345730),Norman Powell (37345802),Dalano Banton (37346152),50000,281.19,2.4315393053496387e-05,238.79999999999998,233.6,79.66
Scoot Henderson (37345859),Devin Booker (37345739),Cam Whitmore (37345967),Kevin Durant (37345735),Jaylin Williams (37346032),Tyus Jones (37345909),Evan Mobley (37345758),Jarrett Allen (37345815),50000,281.19,1.6567760301699185e-05,245.0,247.5,78.05
Shai Gilgeous-Alexander (37345727),Kris Dunn (37346015),Grayson Allen (37345912),Kevin Durant (37345735),Domantas Sabonis (37345733),Anfernee Simons (37345809),Kenrich Williams (37346061),Jaylin Williams (37346032),50000,281.03,8.689121107856925e-06,235.8,238.0,78.2
Tyus Jones (37345909),Devin Booker (37345739),Derrick Jones Jr. (37346050),Evan Mobley (37345758),Ivica Zubac (37345796),Shai Gilgeous-Alexander (37345727),Luguentz Dort (37345935),Jaylin Williams (37346032),50000,280.99,1.4992674248535437e-05,233.8,246.2,78.31
Anfernee Simons (37345809),Dalano Banton (37346152),Derrick Jones Jr. (37346050),Kevin Durant (37345735),Deandre Ayton (37345836),Cade Cunningham (37345730),Jalen Williams (37345767),Jaylin Williams (37346032),50000,281.33,6.204120545661696e-06,232.5,238.5,79.64
Shai Gilgeous-Alexander (37345727),Cason Wallace (37345917),Cam Whitmore (37345967),Kevin Durant (37345735),Jaylin Williams (37346032),Scoot Henderson (37345859),Norman Powell (37345802),Myles Turner (37345838),50000,280.87,1.3803719776753035e-05,245.50000000000003,249.79999999999998,78.84
Dalano Banton (37346152),Devin Booker (37345739),Amir Coffey (37346025),Kevin Durant (37345735),Jaylin Williams (37346032),Grayson Allen (37345912),Evan Mobley (37345758),Domantas Sabonis (37345733),50000,280.77,8.933343427673883e-06,237.19999999999996,240.39999999999998,77.74
Shai Gilgeous-Alexander (37345727),Shaedon Sharpe (37345826),Ausar Thompson (37345893),Kenrich Williams (37346061),Jaylin Williams (37346032),Tyus Jones (37345909),Kevin Durant (37345735),Alperen Sengun (37345746),50000,280.79,7.351324498181346e-06,235.1,235.9,79.18
Shai Gilgeous-Alexander (37345727),Dalano Banton (37346152),Cam Whitmore (37345967),Jalen Williams (37345767),Jaylin Williams (37346032),Jalen Green (37345787),Evan Mobley (37345758),Myles Turner (37345838),50000,280.95,4.9249584200499e-06,214.3,235.6,80.02
Cason Wallace (37345917),Kris Dunn (37346015),Ausar Thompson (37345893),Kevin Durant (37345735),Jaylin Williams (37346032),Cade Cunningham (37345730),Jalen Williams (37345767),Ivica Zubac (37345796),50000,280.83,5.981594049033634e-06,230.9,242.5,79.79
De'Aaron Fox (37345748),Devin Booker (37345739),Grayson Allen (37345912),Alexandre Sarr (37345845),Ivica Zubac (37345796),Dalano Banton (37346152),Kevin Durant (37345735),Jaylin Williams (37346032),50000,281.21,1.5375780552947778e-05,251.39999999999998,240.70000000000002,78.64
Shai Gilgeous-Alexander (37345727),Devin Booker (37345739),Amir Coffey (37346025),Obi Toppin (37345960),Jarrett Allen (37345815),Tyus Jones (37345909),Kevin Durant (37345735),Jaylin Williams (37346032),50000,280.93,3.92759282008676e-06,237.7,238.3,77.96
Shai Gilgeous-Alexander (37345727),Dalano Banton (37346152),Norman Powell (37345802),Evan Mobley (37345758),Ivica Zubac (37345796),Anfernee Simons (37345809),Luguentz Dort (37345935),Jaylin Williams (37346032),49800,280.79,2.6215830276114502e-05,238.59999999999997,241.79999999999998,79.18
Shai Gilgeous-Alexander (37345727),Kris Dunn (37346015),Grayson Allen (37345912),Kenrich Williams (37346061),Jaylin Williams (37346032),Cade Cunningham (37345730),Jalen Williams (37345767),Ivica Zubac (37345796),49900,280.81,1.3629763565662571e-05,230.3,233.3,79.33
Scoot Henderson (37345859),Devin Booker (37345739),Bilal Coulibaly (37345856),Jalen Williams (37345767),Jaylin Williams (37346032),Dalano Banton (37346152),Kevin Durant (37345735),Deandre Ayton (37345836),50000,280.75,9.205969061989129e-06,244.79999999999998,247.6,79.24
Shai Gilgeous-Alexander (37345727),Shaedon Sharpe (37345826),Norman Powell (37345802),Kenrich Williams (37346061),Deandre Ayton (37345836),Tyus Jones (37345909),Kevin Durant (37345735),Jaylin Williams (37346032),50000,280.82,1.264153798097277e-05,248.10000000000002,242.20000000000002,78.22
