PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Tyler Herro (36987548),Duncan Robinson (36987668),Herbert Jones (36987615),Keegan Murray (36987594),Yves Missi (36987613),Dejounte Murray (36987531),Trey Murphy III (36987578),Jakob Poeltl (36987551),49900,259.91,0.00013972829742636976,273.3,259.5,77.99999999999999
Jrue Holiday (36987621),CJ McCollum (36987563),Herbert Jones (36987615),Tobias Harris (36987585),Jakob Poeltl (36987551),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),50000,260.59,0.00013436961160099922,272.6,261.20000000000005,77.89999999999999
CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Jonathan Mogbo (36987678),Bam Adebayo (36987542),Duncan Robinson (36987668),Jayson Tatum (36987508),Yves Missi (36987613),49900,258.12,0.00014814780169778913,275.1,244.59999999999997,77.79
Dejounte Murray (36987531),CJ McCollum (36987563),Trey Murphy III (36987578),Tobias Harris (36987585),Yves Missi (36987613),Duncan Robinson (36987668),Herbert Jones (36987615),Tyler Herro (36987548),50000,259.35,0.0001409689335353438,274.6,254.8,78.05999999999999
Tyler Herro (36987548),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),Dru Smith (36987709),Jimmy Butler (36987553),Yves Missi (36987613),50000,260.82,0.00014742255656264197,273.8,252.8,78.03
Tyler Herro (36987548),CJ McCollum (36987563),Jaylen Brown (36987534),Herbert Jones (36987615),Yves Missi (36987613),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Jakob Poeltl (36987551),49800,259.46,0.00014088240552045594,270.6,250.5,78.07
Tyler Herro (36987548),Duncan Robinson (36987668),Herbert Jones (36987615),Jayson Tatum (36987508),Yves Missi (36987613),Dejounte Murray (36987531),Trey Murphy III (36987578),Dru Smith (36987709),50000,259.08,9.997496103775016e-05,263.1,247.39999999999998,77.60999999999999
Tyler Herro (36987548),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),CJ McCollum (36987563),Javonte Green (36987705),Bam Adebayo (36987542),49900,260.03,0.00015590183071141975,273.70000000000005,252.8,77.46000000000001
CJ McCollum (36987563),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Yves Missi (36987613),Jrue Holiday (36987621),RJ Barrett (36987525),Bam Adebayo (36987542),50000,259.08,0.00015805310870054717,277.00000000000006,255.20000000000005,77.58
Dejounte Murray (36987531),Duncan Robinson (36987668),Herbert Jones (36987615),Jimmy Butler (36987553),Jakob Poeltl (36987551),Tyler Herro (36987548),Brandon Boston Jr. (36987637),Yves Missi (36987613),49900,259.39,0.00010396635284774793,260.6,247.70000000000002,78.31
Tyler Herro (36987548),Duncan Robinson (36987668),Trey Murphy III (36987578),Tobias Harris (36987585),Bam Adebayo (36987542),CJ McCollum (36987563),Herbert Jones (36987615),Yves Missi (36987613),49800,259.43,0.0001810041106593815,281.7,254.79999999999998,77.87
Jrue Holiday (36987621),CJ McCollum (36987563),Herbert Jones (36987615),Keegan Murray (36987594),Jakob Poeltl (36987551),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),49800,259.46,0.000142092003072321,273.6,265.1,77.3
Dejounte Murray (36987531),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Bam Adebayo (36987542),Dru Smith (36987709),Javonte Green (36987705),Jakob Poeltl (36987551),49800,258.48,7.334038214314358e-05,252.0,247.89999999999998,77.91
CJ McCollum (36987563),Trey Murphy III (36987578),Jimmy Butler (36987553),Jonathan Mogbo (36987678),Bam Adebayo (36987542),Duncan Robinson (36987668),Herbert Jones (36987615),Jakob Poeltl (36987551),50000,258.11,0.0001246269693740619,266.9,248.7,77.77999999999999
Dru Smith (36987709),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),Tyler Herro (36987548),Jaylen Brown (36987534),Duncan Robinson (36987668),50000,259.14,0.00011396513662387256,264.90000000000003,254.29999999999998,77.36
Derrick White (36987574),CJ McCollum (36987563),Javonte Green (36987705),Herbert Jones (36987615),Jakob Poeltl (36987551),Dejounte Murray (36987531),Trey Murphy III (36987578),Yves Missi (36987613),49900,258.59,0.00011078862222962116,266.3,253.49999999999997,77.84
Jrue Holiday (36987621),CJ McCollum (36987563),Trey Murphy III (36987578),Tobias Harris (36987585),Yves Missi (36987613),Tyler Herro (36987548),Brandon Boston Jr. (36987637),Jakob Poeltl (36987551),49800,258.29,9.152215892210915e-05,260.09999999999997,253.7,77.84
Dru Smith (36987709),Duncan Robinson (36987668),Trey Murphy III (36987578),Jayson Tatum (36987508),Yves Missi (36987613),Dejounte Murray (36987531),Herbert Jones (36987615),Jakob Poeltl (36987551),49800,259.38,0.00010814901445593101,265.7,246.89999999999998,78.36
Tyler Herro (36987548),CJ McCollum (36987563),Herbert Jones (36987615),Jonathan Mogbo (36987678),Yves Missi (36987613),Dru Smith (36987709),Jayson Tatum (36987508),Jakob Poeltl (36987551),49800,258.72,7.009346612223419e-05,251.2,242.0,78.21
Cade Cunningham (36987512),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Herbert Jones (36987615),Yves Missi (36987613),Duncan Robinson (36987668),Trey Murphy III (36987578),Jakob Poeltl (36987551),50000,258.82,9.828020196430254e-05,272.0,248.89999999999998,78.74
Jrue Holiday (36987621),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Herbert Jones (36987615),Jakob Poeltl (36987551),Dejounte Murray (36987531),Jonathan Mogbo (36987678),Bam Adebayo (36987542),50000,258.99,6.049966558407813e-05,242.0,246.99999999999997,78.27000000000001
Dejounte Murray (36987531),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),CJ McCollum (36987563),Tobias Harris (36987585),Yves Missi (36987613),49800,259.65,0.00015249469539672407,277.2,254.3,78.81000000000002
CJ McCollum (36987563),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Haywood Highsmith (36987682),Bam Adebayo (36987542),Tyler Herro (36987548),Trey Murphy III (36987578),Jakob Poeltl (36987551),50000,258.55,0.00010178665179219861,260.40000000000003,249.79999999999995,77.50999999999999
CJ McCollum (36987563),Derrick White (36987574),Herbert Jones (36987615),Javonte Green (36987705),Bam Adebayo (36987542),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),49900,258.37,0.00013150094162738687,270.8,253.99999999999997,76.89999999999999
Tyler Herro (36987548),Derrick White (36987574),Herbert Jones (36987615),Jimmy Butler (36987553),Jakob Poeltl (36987551),Duncan Robinson (36987668),Trey Murphy III (36987578),Yves Missi (36987613),50000,259.26,0.00016312671210192035,276.3,257.1,77.34
Dru Smith (36987709),Derrick White (36987574),Brandon Boston Jr. (36987637),Jayson Tatum (36987508),Yves Missi (36987613),Tyler Herro (36987548),Herbert Jones (36987615),Jakob Poeltl (36987551),50000,257.93,5.581822637254431e-05,243.29999999999998,247.5,77.64999999999999
Jrue Holiday (36987621),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Yves Missi (36987613),Dejounte Murray (36987531),Brandon Boston Jr. (36987637),Tyler Herro (36987548),49700,258.68,0.00014984582288102608,272.5,255.0,77.47
Dejounte Murray (36987531),CJ McCollum (36987563),Herbert Jones (36987615),Jayson Tatum (36987508),Jakob Poeltl (36987551),Dru Smith (36987709),Javonte Green (36987705),Yves Missi (36987613),50000,258.67,4.7906534936792445e-05,241.5,242.1,78.25
CJ McCollum (36987563),Duncan Robinson (36987668),Herbert Jones (36987615),Jimmy Butler (36987553),Yves Missi (36987613),Tyler Herro (36987548),Keegan Murray (36987594),Jakob Poeltl (36987551),49900,258.48,0.00010517812546970372,264.00000000000006,257.0,77.6
Tyler Herro (36987548),CJ McCollum (36987563),Trey Murphy III (36987578),Jonathan Mogbo (36987678),Jakob Poeltl (36987551),Dru Smith (36987709),Herbert Jones (36987615),Bam Adebayo (36987542),49600,258.53,0.00010730647912491947,261.7,247.8,77.87
Tyler Herro (36987548),Duncan Robinson (36987668),Herbert Jones (36987615),Al Horford (36987629),Yves Missi (36987613),CJ McCollum (36987563),Jaylen Brown (36987534),Jakob Poeltl (36987551),49900,258.13,6.384558452425157e-05,256.0,252.8,77.46
Jrue Holiday (36987621),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),Dru Smith (36987709),Jayson Tatum (36987508),Yves Missi (36987613),49700,258.93,0.00010997851099157902,266.0,252.5,77.66000000000001
Jrue Holiday (36987621),Duncan Robinson (36987668),Jayson Tatum (36987508),Keegan Murray (36987594),Jakob Poeltl (36987551),Tyler Herro (36987548),Herbert Jones (36987615),Yves Missi (36987613),49900,257.98,6.798770466329202e-05,251.3,258.0,77.02000000000001
Dru Smith (36987709),Duncan Robinson (36987668),Herbert Jones (36987615),Jimmy Butler (36987553),Bam Adebayo (36987542),CJ McCollum (36987563),Trey Murphy III (36987578),Jakob Poeltl (36987551),49600,257.76,0.0001246269693740619,266.9,250.2,77.61999999999999
Dru Smith (36987709),Duncan Robinson (36987668),Trey Murphy III (36987578),Jayson Tatum (36987508),Bam Adebayo (36987542),Tyler Herro (36987548),Herbert Jones (36987615),Yves Missi (36987613),49800,259.16,0.00012836784997247123,270.20000000000005,247.4,77.42000000000002
Tyler Herro (36987548),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Bam Adebayo (36987542),Jrue Holiday (36987621),Tobias Harris (36987585),Jakob Poeltl (36987551),49900,258.92,9.842608555227606e-05,260.79999999999995,259.90000000000003,77.28
CJ McCollum (36987563),Trey Murphy III (36987578),Jimmy Butler (36987553),Herbert Jones (36987615),Yves Missi (36987613),Tyler Herro (36987548),Javonte Green (36987705),Jakob Poeltl (36987551),50000,258.78,0.0001281646550296842,270.90000000000003,252.7,77.41
